Term,Library,p-value,q-value,z-score,combined score,overlaps
Pathways in cancer,KEGG_2021_Human,2.693e-18,4.2680e-16,2.487,100.6,SPI1;CSF3R;KEAP1;ELK1;ETS1;IGF1R;RASSF1;CCND1;CDH1;MYC;RASSF5;AKT3;IL12A;PRKACA;PRKACB;IL15RA;MAP2K1;IL4R;DAPK1;FLT3LG;MITF;RUNX1;BCR;EML4;COL4A5;IL6ST;RAF1;TP53;NOTCH2;CTBP1;EPAS1;NOTCH4;TCF7;MGST1;MGST2;PIK3R3;TGFA;LPAR3;LPAR4;STK4;HIF1A;RASGRP1;FOXO1;DVL2;PLCG1;RALGDS;STAT5A;STAT5B;CREBBP;FZD3;SMAD4;JAG1;GADD45B;FZD6;IGF1;GNG12;GNG11;ESR1;NFKB1;PTK2;ESR2;NFKB2;FGF17;IL6;CDK6;CXCL12;CDK4;LPAR6;IL7;GNB2;BCL2;CALM3;GNB5;CALM1;IL7R;FGFR1;CDKN1A;HSP90AB1;FLT3;LAMC3;FLT4;PIK3CD;PIK3CB;LAMC1;GLI3;GLI2;IKBKB;HEY1;MECOM;RAC2;ITGAV;POLK;APPL1;JAK1;NCOA1;GSTO1;IFNGR1;ITGA3;IL15;IFNGR2;ITGA2;MMP2;TGFBR2;TRAF4;IL3RA;TRAF5;RARA;BIRC5;PPARG;ITGA6;PLCB1;SOS1;PPARD;CAMK2B;CEBPA;HDAC2;CAMK2D;LEF1;CXCR4;ADCY2;ADCY1;PTGS2;CBL;ADCY6;LRP6;GNAI2;RXRB;GNA13;MAPK8;RXRA;GNG2;GNG5;GNA12;CTNNA1;E2F2;HES1;ARNT2;NQO1;TCF7L2;TXNRD3;LAMB3;STAT1;LAMB2;WNT7B;STAT3;LAMB1;PML;EPOR;MAPK10;HEYL;GSTA4;IL2RA;IL2RB
no abnormal phenotype detected MP:0002169,MGI_Mammalian_Phenotype_Level_4_2021,3.227e-18,6.9940e-15,1.770,71.28,PNMT;ATF2;APP;SPI1;EHMT1;ADARB1;EPRS;MKI67;RBPJ;BACH1;FGFRL1;GLS;MYLK;GJA1;RASSF1;TRIM28;SOX18;MYC;SOX15;MYB;LUC7L;HOXA2;DPF3;HOXA1;HOXA7;HOXA5;SOX4;SOX5;MEF2A;SMARCC2;RFX3;SOX12;GTPBP1;RUNX1;ISL2;BCAM;KCNQ1;SFRP5;ZSCAN21;HOXB4;ATF7;HOXB2;PADI4;MAML3;ZNF830;ZFPM2;CLOCK;TP53;PI4K2A;MTMR2;AARS2;GATA3;GATA2;MEFV;NLK;GATA1;HIF1A;TRPM2;UGCG;ADAMTS14;SGPL1;ADAMTS13;ZNF704;PRDM16;PIP5K1A;MAP4;ZBTB7B;ST3GAL1;SCN3A;STAT5A;STAT5B;CREBBP;FZD3;JAG1;YES1;SETDB1;PMM1;FZD6;PBX2;ZNF32;PTK2;SMARCA4;VANGL1;COL1A1;REL;ID3;CC2D1A;ATR;SLC44A2;CTSZ;CTSW;PTPRJ;PRPF19;GLI2;MECP2;MED12;IKBKB;MECOM;HEY1;NKRF;TRIM3;TSPO;KIF1C;JAK1;TEAD4;NCOA1;ANXA5;INSRR;TFE3;TFEB;SIRT5;PROX2;DNTT;PAX5;AVPR1A;TERF1;IL17RC;VAV1;SIRT3;NR5A1;BACE1;KAT2B;KAT2A;MMP15;PTRH2;TFEC;RARA;PPARG;TLR4;JDP2;DCP2;TLR2;ENG;HBEGF;FOXC1;NFIX;PKN3;KCNA3;HSD17B4;ZDHHC24;PTGS2;GNAI2;PAK1;SLC17A9;CXCR1;GPC2;APBB1;HDX;PKLR;STAT1;STAT3;MIB2;NR1H3;ATAT1;HEYL;WT1;APEX1;CAMK4;AGRN;DPAGT1;SEMA5A;CD83;PLXND1;ATP8A1;CHPF;PROS1;TNC;JADE3;PRDM1;RORB;SAT1;ETS2;YY1;CDH5;EFEMP2;SALL2;CCND1;SCN9A;SMARCAD1;SLC39A1;GTF2I;EOMES;SNRPN;FBXW7;IGFBP2;ZBTB32;MITF;ZBTB33;ATP1B1;FOXP3;PCP2;MYCL;ALDH3A1;ADAM17;MYCN;POLG2;DKC1;ERF;DPEP1;ADAM9;S100A4;ERG;IL6ST;RAF1;ANAPC2;ABCG2;BLK;ANKRD17;CUL9;NOTCH2;BRSK1;GCM1;KMT2A;CBFB;NOTCH4;IREB2;ARHGAP19;ITPR2;ITPR3;DDX60;ADIPOR1;STK4;FOXO1;GRK5;PSAP;ZKSCAN3;TNFRSF17;NLRP3;SMYD3;ZNF423;MSC;MAP2K5;SOCS5;SMAD1;ZFHX3;SMAD4;CBX5;NONO;SMAD9;MCC;TMPRSS13;SSH3;ESR1;SMAD5;NFKB1;ACSF2;ESR2;SMAD7;NR4A1;H1F0;TFCP2;CDK6;MAFB;SP2;BCL6;TADA3;NFE2L3;CDK1;NF1;MAP3K10;CSPG4;PLXNB1;NMUR1;TCF3;NIT1;IL7R;BMPR1B;OGT;FGFR1;KCNK7;KDM5C;BMPR2;ITGB3;FLT4;LRRK2;ITGB2;RASGRF1;HSPB1;TCIRG1;LAMC1;PKD2;PKD1;SCPEP1;ACP6;UBTF;TLK1;MYBL2;MYBL1;SCARF1;ABCD1;ZNF385A;TGIF1;KLF11;TGIF2;PDPK1;ITGA2;MMP2;CTPS2;ETV1;ETV2;TNFRSF1B;ETV6;TGFBR2;RBL2;FGR;LATS1;VCAN;PKM;NRG4;IRF1;NDUFS4;BIRC5;IRF8;PIK3C3;PDE5A;B4GALT6;EGFL8;PLEC;CEBPA;CEBPB;RBM47;LRP1;ZBTB46;NR2C1;MLLT6;AGPAT4;LRP6;GNA15;GANAB;FAM120C;GNA12;PDE6D;DROSHA;HES1;E2F6;E2F7;TRDMT1;E2F8;CTHRC1;TBX1;TIE1;GALNT1;SEMA4G;MAPK14;KLF4;KLF3;EPOR;USF1;PML;MAPK12;KLF2;MAPK13;MAPK11;CD4;CAPN11;KLF5;NEURL2;CD5;MGAT4B;RBM41;CD247;TEK;SNTB2
decreased body weight MP:0001262,MGI_Mammalian_Phenotype_Level_4_2021,6.651e-18,9.6090e-15,1.855,73.36,ATF2;SMARCAL1;APP;SERPINE1;PREP;KEAP1;SLC4A1;EPRS;CAPN15;ZDBF2;ELK4;LIPE;NSDHL;GJA1;HOXA9;ZFYVE27;RASSF2;MYC;PIP4K2B;SOX8;PRKACA;PRKCD;HSPG2;ANK1;RUNX3;RUNX2;RUNX1;GNPAT;AFG3L2;FEZ1;KCNQ1;BTK;SIK3;ORAI1;TRIB1;PFN1;TP53;MTMR2;XPA;NEDD4L;GATA2;MEFV;ADAMTS10;GIGYF2;SGPL1;PCBP1;MIER1;CHST14;TP53BP1;PATZ1;ATG7;PPARGC1A;ABCA2;STAT5B;CREBBP;EGR2;JAG1;INSR;MTHFR;IGF1;PA2G4;ST18;COL1A1;SLC6A6;MEX3B;MEX3A;ARTN;GTF2IRD1;ITPA;CC2D1A;LGMN;CPEB4;ATR;CDS2;GPI;PHF2;CDKN1A;CLIC4;PHF20;PTPRM;VLDLR;PHF6;IKBKB;MECP2;UCHL1;MECOM;IDS;TIMP3;CTSD;SLC18A2;JAK1;NCOA2;PRMT7;PARP1;DUSP1;NSUN5;IL15;PRMT3;TET1;PAX5;ZDHHC17;CIT;NR5A1;BACE1;KAT2A;MTF2;PPARG;PLCB1;TLR4;STK40;TLR2;GRN;SGMS1;KCNA3;HSD17B4;GNAI2;NFIL3;SLC17A5;PLAGL2;ZNF106;ZNF462;NQO1;MBD5;GABBR1;CRBN;STAT3;MIB2;GATM;GPAM;PRKRA;CAMK4;INHA;PRDM8;CSF1;IRS1;ZFAND5;INPPL1;UBE3A;IRS2;MSI2;UBE3B;ETS1;IGF1R;NR3C2;CCND1;ZFP30;PTTG1;CAPN7;RUVBL1;FPGS;GRB10;CAPN3;SMARCAD1;SIRPA;GGT1;ZNF202;TLE4;PHYH;AGTPBP1;SNRPN;FBXW8;IGFBP4;SLC30A5;THOC1;ACOT13;CYBB;TRAFD1;LIFR;CHD1L;FOXP3;PHOSPHO1;DKC1;KAT6A;COL4A5;MATR3;IL6ST;RAF1;SLC27A5;SLC27A4;FTO;CUL9;NOTCH2;KHDRBS1;CUL7;KMT2A;NPR2;LTBP4;HTRA2;ABHD5;AEBP1;ADRB2;RAI1;ATXN2;STK36;PSAP;CASKIN1;ABL2;NLRP3;ZNF423;SOCS4;PACSIN1;SLC14A1;EIF2B4;ZFHX3;VDR;CAV1;NONO;ESR1;NFKB2;SMAD7;RCAN1;IL6;G6PC3;CDK6;MAFB;BCL6;DLG4;ITGA11;CNTN1;BCL2;PIN1;DEGS1;TCF4;ESAM;LZTR1;KCNK5;GPSM1;KDM5C;DAGLA;B4GALT1;THRB;THRA;FLT3;RASGRF1;CHD7;ATP2A2;PIK3CB;TCIRG1;PKD1;YBX3;SYNE1;ATP7B;ADAMTS1;HIF1AN;ACP1;ZNF521;TRIM66;CAMK1D;PDPK1;ATRX;PLA2G4A;DDX52;SAFB;UTF1;ETV5;LATS1;PTP4A3;NPC1;TRAF4;DNAJC6;COL6A3;PIK3C3;SCN4A;ZMYND10;SOS1;CERS1;PLEC;SHANK1;HDAC4;CEBPA;CEBPB;HDAC2;SRC;SEMA3A;SPG7;AGPAT1;CBL;LRP6;MAPK8;MTA1;PDE6D;IGF2BP2;MTA3;TCF7L2;SLC12A5;LAMB3;USP20;LAMB2;IRX3;USP22;SOD2;KLF3;PTPN14;SLC25A38;GALC;POLE4;ASXL1;BCKDK;RAD50;NEURL2;ERCC4;POU2AF1;LPIN1;LPIN3
CD33+ Myeloid,Human_Gene_Atlas,3.463e-16,2.8750e-14,2.170,77.24,CD86;CDA;CD83;PLXND1;HFE;ZFAND5;INPPL1;IRS2;ZDHHC7;RASSF2;ZXDC;TRIM25;JUNB;AGFG1;MEF2A;TLE4;USP8;AGTPBP1;SLC11A1;PRKCD;RNASE6;ALG13;CYBB;PHKA2;RUNX1;JMJD6;ADAM17;TYROBP;ADAM15;PADI4;KCTD12;ZNF710;IL6ST;TRIB1;ATF6;S100A8;NOTCH2;ITPR2;IQGAP1;ABHD5;CD1D;GNS;MTMR6;FUT4;ALDH3B1;PSAP;CHST15;NLRP3;ST3GAL6;ZNF787;CD14;SLC15A3;SRGAP2;ATG7;CCR1;IVNS1ABP;SLC37A2;EGR2;CHKB;VDR;PILRA;LYZ;HSPBAP1;ARHGAP26;PARP12;FOSL2;NR4A2;MLLT10;MARCH1;PTPRE;BST1;MAVS;MAFB;ARHGAP30;BCL6;CPD;TBXAS1;SP3;REL;FBXL5;ZCCHC4;GMEB2;LRRK2;ITGB2;CTSZ;PYGL;TCIRG1;PCSK5;CTSS;SGSH;SCPEP1;AKAP13;HK3;GLT1D1;SLC22A15;TSPO;IDS;CD33;CCR2;VENTX;SLC36A1;CAP1;NCOA2;KLF11;DUSP3;SYK;DUSP1;DIS3;PDPK1;IFNGR2;PLAUR;DDX52;ARAP1;TNFRSF1B;IL17RA;FGR;MS4A6A;HCK;KIN;PLSCR1;VCAN;SLC7A7;MTF1;TFEC;PELI1;HCLS1;TLR8;PLCB1;TLR5;SGK1;TLR4;BLVRA;GAS7;HBEGF;TLR2;DNASE1L1;CREB5;PLEC;HDAC4;CAMK2B;CEBPD;PTAFR;CEBPG;FGL2;AOAH;NOD2;LILRA1;LILRA2;PPM1F;GNAI2;TYMP;RBM15B;RXRA;NFIL3;CUX1;HLX;SH3BP2;PLAGL2;MLXIP;MAP3K3;RNF24;IL10RB;GALNT1;PCGF3;CARD9;NAGA;LILRB1;MYO9B;LILRB2;KLF4;LILRB3;MAPK14;SOD2;CPPED1;KLF7;P2RX1;TAF1
CD1c-positive Myeloid Dendritic cell - Blood,HuBMAP_ASCTplusB_augmented_2022,8.533e-16,6.2370e-13,5.217,181.0,CDA;CSF3R;SPI1;CLEC10A;LRRK2;AQP9;MS4A7;HK3;CD33;SYK;SLC11A1;NFAM1;RNASE6;CYBB;FGR;MYCL;HCK;MS4A6A;VCAN;TYROBP;SLC7A7;BTK;TLR8;S100A9;TLR4;S100A8;GAS7;TLR2;RBM47;HVCN1;C5AR1;FGL2;PTAFR;CD1D;LILRA1;CD1C;LILRA2;CHST15;CD14;CCR1;NAPSB;LY86;LILRB1;PILRA;LILRB2;LYZ;LILRB3;BST1;TBXAS1;HLA-DPB1;HLA-DRA
SP1 human,TRRUST_Transcription_Factors_2019,1.308e-15,7.1040e-13,2.425,83.10,ATF2;APP;PGLYRP2;CD83;FMR1;SERPINE1;TNC;IRS2;RORA;ICAM1;IGF1R;YY1;GJA1;RASSF1;CCND1;PTTG1;DPYSL2;MYC;FPGS;SLC39A1;KCNH2;SNRPN;IGFBP4;LMO4;PRKCE;SIGIRR;ADAM17;MYCN;BTK;HOXB7;ABCG2;ABCB1;CD151;CBFB;LTBP4;TGFA;GATA3;CD1D;FUT4;UGCG;SGPL1;TBXA2R;CD14;NDUFV1;CD99;MCTS1;TNFSF14;VDR;INSR;CAV1;LYZ;ESR1;NFKB1;NFKB2;COL1A1;ISG20;NR4A1;IL6;CDK6;CDK4;SP3;BCL2;NF1;CD28;ADA;FGFR1;COL18A1;CDKN1A;B4GALT1;ITGB3;ITGB2;ATP2A3;ATP2A2;LSP1;FOXM1;SPN;CTSL;C1QBP;DNMT3B;TIMP3;ITGAV;PHGDH;MYBL2;MYBL1;CTSB;ABCC1;PTGIR;MME;IFNGR1;ITGA2;MMP2;DNMT3A;PLAUR;TERF2;F3;TGFBR2;BACE1;NR5A1;CREB1;ELF4;CAT;RARA;BIRC5;ITGA5;FBP1;ENG;HBEGF;CERS2;TLR2;LTF;B4GALT5;HDAC4;SRC;FGL2;LCAT;PTGS2;ATP2C1;TYMP;NT5E;MTA1;MAT2A;TBX21;POLD2;PDE6B;CDC42BPG;SOD2;EPOR;KRT18;WT1;APEX1;IMPDH2;IL2RB;SPRY2;VIM
decreased body size MP:0001265,MGI_Mammalian_Phenotype_Level_4_2021,1.808e-15,1.9580e-12,2.024,68.72,SPI1;KEAP1;SLC4A1;ZDBF2;NSDHL;GJA1;ZFYVE27;HERC2;OPHN1;SOX18;MYC;MYB;SOX6;MBNL2;PRKCE;EBF1;MAPK8IP2;ANK1;RUNX3;RUNX2;RUNX1;AFG3L2;HOXB4;SIK3;ORAI1;TFAM;HOXB2;TP53;CFH;CTBP1;TGFA;TWIST1;GATA3;GATA2;MEFV;ADAMTS10;TP53BP1;PATZ1;SCN3A;NFE2;CREBBP;EGR2;JAG1;PHC1;IGF1;PA2G4;PBX1;PTK2;FOSL2;COL1A1;MEX3B;MEX3A;GTF2IRD1;ITPA;CPEB4;NRP1;PHF20;SLC44A2;VLDLR;PHF6;GLI2;MECOM;IDS;SLC18A2;JAK1;NCOA2;TET1;PAX5;CBFA2T2;APRT;KAT2A;TAL1;MTF2;PLCB1;TLR4;PPARD;HBEGF;NFIX;SATB1;CXCR4;MNT;CUX1;CXCR2;SLC17A5;MGAT2;ZNF467;MBD5;STAT1;STAT3;GRHL1;NFIA;PRKRA;NFIC;AGRN;IRS1;RORA;MSI2;RORB;UBE3B;CCND1;CAPN5;SCN9A;SMARCAD1;GGT1;GTF2I;AGTPBP1;SNRPN;KDM2B;SLC30A5;THOC1;MITF;LIFR;CHD1L;FOXP3;ADAM17;PHOSPHO1;MAF;FSCN1;MATR3;IL6ST;RAF1;AKNA;KMT2A;NPR2;GLIS3;ITPR1;LTBP4;HTRA2;CACNA1H;STK36;PSAP;CAMTA1;ZNF423;ZFHX3;VDR;NFKB2;SMAD7;DLG1;CDK6;BCL6;DLG4;SP3;CNTN1;BCL2;DEGS1;GNB5;TCF3;FGFR1;KDM5C;THRB;CHD7;LAMC1;TCIRG1;PKD1;AFF1;DNMT3B;GUSB;ACP1;MYBL1;ZNF521;ZNF385A;TGIF1;PDPK1;MMP2;DNMT3A;ETV1;SAFB;POMGNT1;NPC1;ELF3;NDUFS4;ZMYND10;SOS1;CERS1;HDAC4;CAMK2B;CEBPA;RBM47;HDAC2;SRC;SEMA3A;LEF1;LRP6;MTA2;CIZ1;SLC12A5;MBOAT7;ARID3A;SOD2;USF2;BICC1;GALC;ASXL1;BCKDK;IL2RA;ERCC2;PTPN9;SPRY2;LPIN1
enlarged spleen MP:0000691,MGI_Mammalian_Phenotype_Level_4_2021,3.945e-15,3.4200e-12,2.447,81.17,SCARB1;SPI1;RORC;DCAF8;SLC4A1;IKZF3;MYC;RASSF5;MYB;LUC7L;SIRPA;PDK2;TLE4;PRKCD;EBF1;NSMCE1;FOXP3;ANK1;RUNX2;RUNX1;MAF;DKC1;PADI4;IL6ST;RAF1;TP53;CUL9;NNMT;CUL5;KMT2A;LTBP4;ADRB2;CACNA1C;MEFV;FOXO3;GATA1;CORO1A;RASGRP1;PRDX2;TBXA2R;NLRP3;ST8SIA6;SKIL;LYN;NFE2;CREBBP;NFATC2;LYZ;NFKB1;ESR2;NFKB2;ABTB1;MLLT10;TRIP6;REL;BCL2;ID3;PPT2;LGMN;CDKN1A;SMG1;B4GALT1;PODXL2;FLT3;ITGB3;GRIK5;ITGB2;ZC3H8;ITGAL;SGSH;AKAP13;ADAMTS1;XPO5;UBTF;HIF1AN;SCARF1;JAK1;CCR2;NCOA2;CAMK1D;MMP2;TET2;DUSP8;CBFA2T3;MTSS1;NPC1;RASA3;MMP15;IRF4;TLR8;IRF8;PDE5A;CD47;DNASE1;PLCB1;ZNF236;SOS1;TLR5;SLC29A3;SHANK1;CEBPA;CEBPB;TNXB;NLRC5;PTGS2;CBL;GNA15;RBBP4;NFIL3;GPC1;CXCR2;MXI1;MGAT2;E2F5;RBM38;NPM1;SLC12A5;PKLR;MBOAT2;KLF1;ASXL1;CD5;IL2RA;IL2RB;ERCC2;CD247;PFKM
Human T-cell leukemia virus 1 infection,KEGG_2021_Human,9.69e-15,1.0240e-12,3.287,106.1,ATF2;NRP1;CDKN1A;SPI1;ITGB2;PIK3CD;PIK3CB;CD3E;ITGAL;ELK1;ETS1;ETS2;ICAM1;CDC20;ELK4;IKBKB;CCND1;PTTG1;CREB3L4;MYC;AKT3;CREB3L2;TSPO;PRKACA;PRKACB;HLA-DPA1;JAK1;IL15RA;MAP2K1;TBP;ANAPC7;IL15;HLA-F;HLA-E;TGFBR2;KAT2B;CREB3;KAT2A;CREB1;LCK;TBPL1;ANAPC4;TP53;ANAPC1;ANAPC2;CREB5;ATF6B;PIK3R3;ADCY2;ADCY1;ADCY6;MAPK8;E2F2;STAT5A;STAT5B;MAP3K3;CREBBP;EGR2;SMAD4;NFYB;NFATC2;NFATC1;NFKB1;NFATC4;NFKB2;MAPK10;DLG1;IL6;CD4;CDK4;IL2RA;CDC16;IL2RB;HLA-DPB1;HLA-DRA;TCF3;ATR
Signal Transduction R-HSA-162582,Reactome_2022,5.276e-14,2.2250e-11,1.531,46.81,SERPINE1;RBPJ;RXFP1;FGFRL1;MYLK;GJA1;HTR7;SYNGAP1;MYC;AKT3;MYB;C3AR1;PIP4K2B;PRKACB;CMKLR1;MEF2A;PRKAB2;PRKCI;RBFOX2;FNBP1;PRKCE;STARD8;PRKCD;SOX13;RNASE3;PRKCQ;MAML3;TPH1;CTBP1;NEDD4L;GATA3;IQGAP1;PRKCZ;HIF1A;PDGFD;ST3GAL4;PIP5K1A;PIP5K1B;RDH14;ST3GAL6;PLCG1;ST3GAL3;LYN;CREBBP;STARD13;JAG1;PHC1;FZD6;NFATC1;CGN;PBX1;VANGL1;MOV10;AGO3;AGO4;GPR18;ARHGAP9;CDKN1A;PIGU;GLI3;ARHGAP4;GLI2;IKBKB;MECOM;HEY1;CASP10;JAK1;DUSP3;ANXA1;TCF12;DUSP8;GMIP;F3;PSMA5;KAT2B;KAT2A;PTRH2;RAPGEF1;RARA;PPARG;PLCB1;PPARD;HBEGF;PKN3;PTAFR;ADCY2;ADCY1;CENPA;ADCY6;PSMB3;SPOP;MFN2;CENPT;CCL22;STAT1;WNT7B;P2RY14;STAT3;NR1H3;DHRS3;GATAD2B;DHRS4;PSMB9;SKI;HEYL;TAOK3;ADM2;ZNF217;PKN1;PF4;PLXND1;FAM13B;IRS1;GPR65;RORA;IRS2;IL1RAP;MSI2;CXCL16;YY1;STK10;CDH5;HHAT;CYSLTR2;RUVBL1;SCMH1;GRB10;MEN1;TLE4;USP8;RNF43;MAP2K1;FBXW7;CTNNBIP1;TEX2;GTF2F2;OBSCN;IL6ST;S100A9;S100A8;NSMAF;NOTCH2;CD274;KHDRBS1;CALCRL;CBFB;CUL5;TNKS;NOTCH4;ITPR1;FOXO6;ITPR2;ITPR3;GPR84;RASAL2;FOXO3;FOXO1;TBXA2R;DVL2;PLXNA1;ABL2;SRGAP2;SKIL;MAP2K5;TIA1;NFKB1;DRAP1;CDK9;MOB1B;CXCL12;STK24;PTPRA;CDK4;BCL2;CDK1;NF1;PLXNB1;ZNF512B;BMPR2;HSP90AB1;DAGLA;FLT3;ITGB3;FLT4;LRRK2;RASGRF1;ECE1;ARRB1;TCIRG1;TRH;PIK3CB;DUSP10;VPS72;ITGB8;WDR6;ITGAV;KSR1;VWF;ITGA3;ITGA2;TFDP1;ADORA2A;TFDP2;NRG4;LCK;IL3RA;BIRC5;PIK3C3;ITGA5;AGXT;DAGLB;SOS1;HDAC4;HDAC5;HDAC2;SRC;CXXC5;LRP6;P2RY4;RBBP4;P2RY2;FYN;RBBP7;E2F5;HNRNPA1;ANGPT1;CDC42BPB;BAIAP2;CDC42BPA;PML;APLN;IL2RA;IL2RB;P4HB;APP;TAS2R20;HDAC11;ZDHHC7;CDC20;TIAL1;OPHN1;RPS6KA2;PDK3;ATP6V1E1;BTRC;SOX6;SOX7;PDK2;SOX4;CPT1A;TAS2R10;ACTN1;FLT3LG;TAS2R14;CSNK1E;RUNX3;RUNX1;SFRP1;BTK;KCTD13;ULK3;TRIB1;ATP6V0D1;PFN1;TP53;PTGFR;EPAS1;MAGED1;TGFA;PIK3R3;LPAR3;LPAR4;NLK;PIK3R5;DHX34;ATP6V0A2;RALGDS;PAG1;STAT5A;CCR1;STAT5B;EGR2;EGR3;YES1;TAS2R31;BCL11B;INSR;PDE2A;IGF1;PPBP;GNG12;GNG11;PTK2;SMARCA4;LPAR6;ARTN;CD28;ID3;CALM1;NRP1;NRP2;PTGDR2;SH3KBP1;OTUD7B;PTPRJ;PTPRK;AATF;PCSK5;AKAP13;C1QBP;RAC2;DLAT;CTSD;CCR2;NCOA1;NCOA2;ATP6V0B;SYK;PARP1;PRMT1;STRADB;AVPR1A;VAV1;GAL;NR5A2;HNRNPH1;SGK1;CAB39;CXCR4;ZDHHC21;GNAI2;CAMKK2;RXRB;RXRA;CXCR1;CXCR2;CTNNA1;AKR1C3;MIB2;MYO9B;MYO9A;MIB1;GPAM;ZDHHC9;CAMK4;TRIP10;CD86;RTKN;KDM1A;KDM1B;SPPL2B;SPPL2A;PEBP1;PRDM1;IGF1R;ARHGAP44;ARHGAP42;CCND1;NANOS3;CYBB;CYBA;PCP2;ALDH3A2;ADAM17;MYCN;COL4A5;SUCNR1;TCF7;C5AR1;LTBP4;ARHGAP17;ADRB2;STK4;RASGRP1;ARHGAP22;HCAR3;GRK5;RHPN1;NLRP3;SMAD1;SMAD4;CAV1;SMAD9;ARHGAP26;SMAD6;ESR1;SMAD5;ESR2;SMAD7;FGF17;ARHGAP33;NR4A1;IL6;DLG1;ARHGAP30;GNB2;DLG5;CNTN1;NMUR1;TAB2;GNB5;BMPR1B;BMPR1A;FGFR1;GPSM1;YWHAE;CXCL6;B4GALT1;LAMC3;DOCK9;CHD8;PDE3B;ATP2A3;ATP2A2;HSPB1;LAMC1;LYL1;DBT;IFT57;TAS2R3;GPSM3;TAS2R5;TAS2R4;TGIF1;PTGIR;TBP;TGIF2;PDPK1;NCBP2;MMP2;ARAP2;PLA2G4A;PPP2R5C;ARAP1;TGFBR2;LATS1;CREB1;ELF3;RASA3;COL6A3;PDE5A;DOCK1;ITGB3BP;CAMK2B;CAMK2D;LEF1;CBL;AURKB;GNA13;GNA15;MAPK8;GNG2;MTA1;GNG5;GNA12;PDE6D;PDE6B;MTA2;MTA3;REPS1;KDM4A;TCF7L2;GALNT3;LAMB3;TRAT1;LAMB1;MAPK14;USF2;EPOR;USF1;MAPK12;MAPK13;MAPK11;TEC;FMNL2;ABHD17B;SCD;SPRY2;TEK;VIM;RBMX
"CD14-low, CD16-positive monocyte - Bone Marrow",HuBMAP_ASCTplusB_augmented_2022,9.201e-14,3.3630e-11,4.801,144.1,GPR65;C5AR1;MS4A7;FGL2;PTAFR;PTPRJ;CD1D;AOAH;LILRA1;NOD2;SIRPB1;CXCL16;ICAM1;SGSH;LGALS3;HK3;C3AR1;CD14;SLC15A3;CCR1;FCER1G;SLC11A1;NFAM1;IL10RA;CYBB;LILRB1;PILRA;LILRB2;LYZ;LILRB3;FGR;HCK;MS4A6A;DOK2;HAL;TYROBP;MAFB;SLC7A7;BCL6;VNN2;TLR8;SGK1;S100A9;TLR4;S100A8;GAS7;TLR2
CD34+,Human_Gene_Atlas,9.764e-14,4.0520e-12,2.073,62.09,ATF2;ZNF692;SLC35B4;PLXND1;EHMT2;PDCD6;SPPL2B;KEAP1;SLC8A1;RRP9;TIAL1;PNN;HOXA9;HPGDS;MYC;MYB;GRB10;DENR;ZNF202;SOX4;SLC39A3;CPA3;ZNF18;SMARCC1;CPT1A;SLC15A2;ANAPC7;THOC1;CHD1L;THOC2;ILF2;HCFC1;RUNX1;DHX40;ILF3;PPA2;POLG2;EWSR1;DKC1;RPL7L1;TFAM;GEMIN5;ERG;MZF1;DUS3L;NSMAF;ANKRD17;KHDRBS1;MACF1;SUCNR1;AASDH;DDX1;AK2;MGST2;ZNF22;GATA2;CDKN2AIP;FUT4;ARHGAP22;ZNHIT6;INPP5E;CSTF1;ATP6V0A2;CAMTA1;DMAP1;ZNF665;RBM12;RREB1;ZNF146;ZBED3;SMAD1;ATP8B4;WDR59;CPSF6;FANCL;BCL11A;CNOT10;CLK2;VANGL1;CDK6;FUBP1;TRMT11;NOL11;ALDH18A1;ZNF133;SETD4;GPSM1;ZNF131;MS4A3;PIGN;FLT3;NVL;AKAP8L;DDX42;ZC3H8;PRPF19;WDR46;PHF6;FARS2;MED12;IMMP2L;NNT;ZMYM4;CASP6;ACP6;XPO5;SNAPC4;IDS;GUSB;ZNF521;UTP14A;NCOA2;ABCC1;TBP;TCF12;CAD;DNTT;DDX52;MRPL45;CBFA2T3;KLF16;ETV6;DDAH2;MTF2;MED20;PIGM;ZNF512;UMPS;ATF6B;MRPS31;NOL8;CSTF2T;ZNF3;MTIF3;SLC25A26;EXTL2;GNA15;PLAGL1;BMS1;ACSS1;HNRNPA1;EXOSC2;ZNF343;NOP56;GALNT7;ANGPT1;RNF24;MGA;GALNT1;YLPM1;TRMT1;MAPK14;LRPPRC;PML;ZNF33B;TARBP1;ASXL1;IGLL1;IMPDH2;P2RX1;UBAP2;CEBPZ;SLC25A36
White fat cell differentiation WP4149,WikiPathway_2021_Human,2.987e-13,1.7890e-10,15.32,441.8,STAT5A;CEBPA;STAT5B;CEBPB;EGR2;CEBPD;EBF1;NR1H3;RORA;GATA3;GATA2;KLF4;FOXO1;KLF2;CREB1;KLF5;MECOM;IRF3;IRF4;CTNNA1;RARA;PPARG;ZNF423
