Term,Library,p-value,q-value,z-score,combined score,overlaps
CD1c-positive Myeloid Dendritic cell - Blood,HuBMAP_ASCTplusB_augmented_2022,7.245e-15,2.6230e-12,5.610,182.6,CDA;RBM47;CSF3R;SPI1;LRRK2;AQP9;C5AR1;MS4A7;FGL2;PTAFR;CD1D;CD1C;LILRA2;HK3;CHST15;CD14;CCR1;SYK;SLC11A1;NFAM1;RNASE6;CYBB;LILRB1;PILRA;LILRB2;LYZ;LILRB3;FGR;MYCL;BST1;HCK;MS4A6A;VCAN;TYROBP;SLC7A7;TBXAS1;HLA-DRA;TLR8;S100A9;TLR4;S100A8
"CD14-low, CD16-positive monocyte - Bone Marrow",HuBMAP_ASCTplusB_augmented_2022,2.935e-13,7.0830e-11,5.268,152.0,GPR65;C5AR1;MS4A7;FGL2;PTAFR;PTPRJ;CD1D;AOAH;SIRPB1;CXCL16;LGALS3;HK3;CD14;SLC15A3;CCR1;FCER1G;SLC11A1;NFAM1;IL10RA;CYBB;LILRB1;PILRA;LILRB2;LYZ;LILRB3;FGR;HCK;MS4A6A;TYROBP;MAFB;SLC7A7;BCL6;VNN2;TLR8;SGK1;S100A9;TLR4;S100A8
CD14-positive monocyte - Bone Marrow,HuBMAP_ASCTplusB_augmented_2022,5.593e-13,1.0120e-10,5.282,149.0,CDA;IL1RN;GPR65;LRRK2;AQP9;C5AR1;PTPRJ;CD1D;GPR84;SIRPB1;LGALS3;HK3;GLT1D1;IL18RAP;SIRPA;CD14;SLC15A3;JAZF1;CCR1;NFAM1;IL10RA;CYBB;PILRA;LILRB2;LYZ;LILRB3;FGR;HCK;MS4A6A;VCAN;TYROBP;MAFB;VNN2;TLR8;S100A9;TLR4;S100A8
decreased body weight MP:0001262,MGI_Mammalian_Phenotype_Level_4_2021,6.975e-13,2.0530e-9,1.819,50.92,ATF2;SMARCAL1;APP;KEAP1;EPRS;ZDBF2;ELK4;LIPE;NSDHL;GJA1;HOXA9;PIP4K2B;PRKACA;HSPG2;ANK1;RUNX1;GNPAT;AFG3L2;FEZ1;SIK3;ORAI1;PFN1;TP53;MTMR2;NEDD4L;GATA2;MEFV;ADAMTS10;GIGYF2;SGPL1;PCBP1;MIER1;CHST14;TP53BP1;PATZ1;STAT5B;EGR2;JAG1;INSR;MTHFR;MEX3B;MEX3A;ARTN;ITPA;CC2D1A;LGMN;CPEB4;ATR;GPI;PHF2;CLIC4;PHF20;PTPRM;PHF6;MECP2;IDS;TIMP3;CTSD;SLC18A2;JAK1;NCOA2;PRMT7;PARP1;PAX5;NR5A1;BACE1;KAT2A;TLR4;GRN;KCNA3;HSD17B4;GNAI2;SLC17A5;PLAGL2;ZNF462;NQO1;MBD5;GABBR1;STAT3;GATM;GPAM;PRKRA;CAMK4;CSF1;IRS1;ZFAND5;INPPL1;IRS2;MSI2;ETS1;NR3C2;CCND1;RUVBL1;FPGS;GRB10;CAPN3;SMARCAD1;SIRPA;GGT1;ZNF202;TLE4;PHYH;AGTPBP1;SNRPN;FBXW8;IGFBP4;THOC1;CYBB;TRAFD1;LIFR;CHD1L;FOXP3;PHOSPHO1;DKC1;COL4A5;MATR3;IL6ST;RAF1;SLC27A5;SLC27A4;FTO;CUL9;CUL7;NPR2;LTBP4;ABHD5;AEBP1;ADRB2;RAI1;ATXN2;STK36;PSAP;CASKIN1;ABL2;ZNF423;SOCS4;EIF2B4;VDR;NONO;NFKB2;SMAD7;RCAN1;IL6;G6PC3;CDK6;MAFB;BCL6;DLG4;ITGA11;CNTN1;TCF4;ESAM;LZTR1;KCNK5;GPSM1;KDM5C;FLT3;RASGRF1;CHD7;ATP2A2;PIK3CB;TCIRG1;PKD1;SYNE1;ATP7B;TRIM66;CAMK1D;ATRX;PLA2G4A;DDX52;SAFB;UTF1;PTP4A3;TRAF4;DNAJC6;COL6A3;PIK3C3;SCN4A;SOS1;CERS1;HDAC4;CEBPB;HDAC2;SEMA3A;SPG7;LRP6;MAPK8;MTA1;PDE6D;IGF2BP2;MTA3;TCF7L2;SLC12A5;LAMB3;USP20;LAMB2;IRX3;USP22;SOD2;KLF3;PTPN14;SLC25A38;GALC;POLE4;RAD50;ERCC4;POU2AF1;LPIN1;LPIN3
"preweaning lethality, complete penetrance MP:0011100",MGI_Mammalian_Phenotype_Level_4_2021,1.029e-12,2.0530e-9,1.778,49.09,ATF2;POP5;SPI1;SLC35B4;EHMT2;EHMT1;ADARB1;RBPJ;EPRS;PWP1;GLS;CDC20;PNN;GJA1;SOX18;ZMIZ2;NAMPT;HOXA2;KAT8;DENR;ATP6V1E1;JUNB;ACVR1;MCCC2;ATG3;CUBN;ALG8;SMARCC2;SFMBT2;MCCC1;METTL3;NSMCE1;ANK1;JMJD6;PPA2;ORAI1;ATP6V0D1;PFN1;ZNF830;TP53;AARS2;STXBP1;SUPT4H1;NEDD4L;GATA2;RNPC3;NLK;SGPL1;INPP5E;HESX1;TRPM7;CHST14;PATZ1;ATRIP;BBS1;XBP1;BCL11B;ZNF260;TGDS;PDE2A;PBX3;HARS2;PAICS;PRRC2B;MLLT10;PTK7;FUBP1;ALDH18A1;CDK13;ATR;ZNF496;NRP1;GPI;SMG1;MRPS12;PCSK5;PHF6;FARS2;GLI2;SLC22A17;ZMYM4;TCTN1;XPO5;PHGDH;DLAT;CCT3;PBRM1;SYK;PRMT1;SLC39A10;PAX5;SUPT3H;KIN;SLC7A7;HNRNPH1;MTF1;MED20;RAPGEF1;PIGM;ZNF236;PIGF;TRUB2;NOL8;TMEM67;SPOP;MFN2;BRD8;MBD5;MYEF2;MDH2;STAT3;YLPM1;WDR12;DHRS3;NR6A1;TARDBP;DPAGT1;KDM1A;IRS1;CDH1;ZNF207;PMPCA;GYG1;EOMES;RAB2A;LIFR;ALG11;ALG10;SDHB;MAF;POLG2;RPL7L1;ERF;NHP2;ANAPC4;GEMIN5;IL6ST;SNRNP200;RAF1;SLC27A4;CUL5;DDX1;ITPR1;AEBP1;FOXO1;TIMM50;PITRM1;UTP20;DMAP1;ZNF423;MORC2;NDUFV1;BPTF;EIF2B3;VCAM1;CNOT10;SMAD7;CDK9;CNOT4;COQ4;SEPSECS;CXCL12;SYNJ1;DLG5;CNTN1;PHF14;NF1;LZTR1;FGFR1;CHD8;POMT1;ATP2A2;DPY30;ZC3H8;PIK3CB;PKD1;METTL14;TRPS1;MYO18A;DNMT3B;ITGB8;HMG20A;HIBCH;TGIF2;NCBP2;DIS3;DDX51;LSS;POMGNT1;TGFBR3;NAA35;LUC7L3;PFDN1;SCN4A;LCP1;B4GALT5;NDUFB9;LRP1;LEF1;AMBRA1;AURKA;STRN3;MAT2A;POLD2;TRIM45;PTCD3;TCF7L2;SLC12A5;RRM2;USP22;FOXJ3;ARID3A;EPOR;U2SURP;DHODH;RPIA;KLF7;GNPDA1;ERCC3;ERCC4;TAF6;ABCE1
CD34+,Human_Gene_Atlas,4.101e-12,3.3630e-10,2.170,56.91,ATF2;ZNF692;SLC35B4;EHMT2;PDCD6;SPPL2B;KEAP1;SLC8A1;RRP9;TIAL1;PNN;HOXA9;HPGDS;GRB10;DENR;ZNF202;CPA3;ZNF18;SMARCC1;CPT1A;ANAPC7;THOC1;CHD1L;RUNX1;DHX40;PPA2;POLG2;EWSR1;DKC1;RPL7L1;GEMIN5;MZF1;DUS3L;NSMAF;ANKRD17;MACF1;AASDH;DDX1;AK2;MGST2;ZNF22;GATA2;CDKN2AIP;ARHGAP22;ZNHIT6;INPP5E;CSTF1;DMAP1;ZNF665;RBM12;ZNF146;ZBED3;SMAD1;ATP8B4;CPSF6;FANCL;BCL11A;CNOT10;CLK2;VANGL1;CDK6;FUBP1;TRMT11;NOL11;ALDH18A1;ZNF133;SETD4;GPSM1;ZNF131;MS4A3;FLT3;NVL;DDX42;ZC3H8;PRPF19;WDR46;PHF6;FARS2;MED12;IMMP2L;ZMYM4;CASP6;ACP6;XPO5;SNAPC4;IDS;UTP14A;NCOA2;ABCC1;TCF12;CAD;DDX52;MRPL45;MED20;PIGM;ZNF512;UMPS;NOL8;ZNF3;MTIF3;SLC25A26;EXTL2;GNA15;PLAGL1;BMS1;HNRNPA1;EXOSC2;ZNF343;NOP56;GALNT7;MGA;YLPM1;TRMT1;MAPK14;ZNF33B;TARBP1;IMPDH2;UBAP2;SLC25A36
no abnormal phenotype detected MP:0002169,MGI_Mammalian_Phenotype_Level_4_2021,1.231e-11,1.6380e-8,1.683,42.28,PNMT;ATF2;APP;SPI1;EHMT1;ADARB1;EPRS;MKI67;RBPJ;BACH1;FGFRL1;GLS;GJA1;TRIM28;SOX18;LUC7L;HOXA2;DPF3;HOXA1;HOXA7;HOXA5;SOX5;MEF2A;SMARCC2;RFX3;SOX12;GTPBP1;RUNX1;ZSCAN21;HOXB4;ATF7;HOXB2;PADI4;ZNF830;CLOCK;TP53;PI4K2A;MTMR2;AARS2;GATA3;GATA2;MEFV;NLK;TRPM2;UGCG;ADAMTS14;SGPL1;ADAMTS13;ZNF704;PRDM16;MAP4;ZBTB7B;ST3GAL1;STAT5B;FZD3;JAG1;YES1;PMM1;PBX2;PTK2;SMARCA4;VANGL1;CC2D1A;ATR;SLC44A2;CTSW;PTPRJ;PRPF19;GLI2;MECP2;MED12;HEY1;NKRF;TRIM3;TSPO;JAK1;ANXA5;INSRR;SIRT5;PROX2;PAX5;AVPR1A;IL17RC;SIRT3;NR5A1;BACE1;KAT2B;KAT2A;MMP15;PTRH2;TLR4;JDP2;FOXC1;NFIX;PKN3;KCNA3;HSD17B4;ZDHHC24;GNAI2;PAK1;SLC17A9;CXCR1;APBB1;PKLR;STAT3;NR1H3;ATAT1;WT1;APEX1;CAMK4;DPAGT1;SEMA5A;PROS1;TNC;JADE3;RORB;SAT1;ETS2;EFEMP2;SALL2;CCND1;SCN9A;SMARCAD1;GTF2I;EOMES;SNRPN;FBXW7;IGFBP2;ZBTB32;ATP1B1;FOXP3;PCP2;MYCL;ADAM17;POLG2;DKC1;ERF;DPEP1;ADAM9;IL6ST;RAF1;ANAPC2;ABCG2;BLK;ANKRD17;CUL9;BRSK1;ARHGAP19;ITPR2;ITPR3;DDX60;ADIPOR1;FOXO1;GRK5;PSAP;ZKSCAN3;TNFRSF17;SMYD3;ZNF423;MAP2K5;SOCS5;SMAD1;SMAD4;CBX5;NONO;SMAD9;MCC;TMPRSS13;SSH3;SMAD5;ACSF2;SMAD7;NR4A1;CDK6;MAFB;BCL6;TADA3;NF1;MAP3K10;PLXNB1;NMUR1;IL7R;BMPR1B;OGT;FGFR1;KDM5C;FLT4;LRRK2;ITGB2;RASGRF1;TCIRG1;LAMC1;PKD2;PKD1;SCPEP1;ACP6;ABCD1;TGIF2;ITGA2;MMP2;CTPS2;ETV1;TNFRSF1B;FGR;VCAN;PKM;NRG4;NDUFS4;BIRC5;IRF8;PIK3C3;PDE5A;EGFL8;CEBPB;RBM47;LRP1;ZBTB46;NR2C1;AGPAT4;LRP6;GNA15;FAM120C;GNA12;PDE6D;DROSHA;E2F6;TRDMT1;TIE1;SEMA4G;MAPK14;KLF4;KLF3;EPOR;MAPK12;KLF2;MAPK13;MAPK11;CAPN11;KLF5;CD5;MGAT4B;CD247;SNTB2
"CD14-low, CD16-positive monocyte - Blood",HuBMAP_ASCTplusB_augmented_2022,3.727e-11,5.3970e-9,4.639,111.4,CDA;RBM47;CSF3R;C5AR1;MS4A7;FGL2;PTAFR;AOAH;MEFV;LILRA2;SIRPB1;CXCL16;HK3;CD14;SLC15A3;ZNF467;CCR1;VASP;FCER1G;SLC11A1;NFAM1;CYBB;LILRB1;PILRA;LILRB2;LILRB3;LILRB4;FGR;HCK;NLRP12;TYROBP;SLC7A7;TBXAS1;TLR8;S100A9
Pathways in cancer,KEGG_2021_Human,1.543e-9,2.4150e-7,2.102,42.64,SPI1;CSF3R;HSP90AB1;FLT3;FLT4;PIK3CD;KEAP1;PIK3CB;LAMC1;ETS1;GLI3;GLI2;HEY1;CCND1;CDH1;RASSF5;AKT3;RAC2;ITGAV;IL12A;POLK;PRKACA;PRKACB;APPL1;JAK1;MAP2K1;DAPK1;GSTO1;IFNGR1;IFNGR2;ITGA2;MMP2;RUNX1;EML4;TRAF4;IL3RA;TRAF5;BIRC5;COL4A5;IL6ST;SOS1;RAF1;TP53;PPARD;HDAC2;CAMK2D;TCF7;LEF1;MGST2;CXCR4;ADCY2;RASGRP1;ADCY6;FOXO1;LRP6;GNAI2;MAPK8;RXRA;GNG2;GNG5;GNA12;DVL2;CTNNA1;E2F2;PLCG1;RALGDS;STAT5B;NQO1;TCF7L2;FZD3;SMAD4;JAG1;TXNRD3;LAMB3;LAMB2;WNT7B;STAT3;LAMB1;GNG12;GNG11;PTK2;EPOR;NFKB2;FGF17;IL6;CDK6;CXCL12;GSTA4;IL7;IL2RA;GNB2;IL2RB;CALM3;GNB5;IL7R;FGFR1
abnormal T cell differentiation MP:0002145,MGI_Mammalian_Phenotype_Level_4_2021,1.91e-9,1.9060e-6,4.176,83.83,SPI1;PHF20;ITGB2;RORC;CXCR4;GATA3;HNRNPLL;CD3E;RASGRP1;AFF1;TP53BP1;ZBTB7B;E2F5;JAK1;AGTPBP1;BCL11B;BCL11A;TCF12;FOXP3;RUNX1;NFKB2;POLE4;IL6;CDK6;TFAP4;LCK;MMP19;PTPN9;TCF4;CD247;IL6ST;IL7R
decreased body size MP:0001265,MGI_Mammalian_Phenotype_Level_4_2021,3.974e-9,3.1730e-6,1.843,35.65,SPI1;IRS1;KEAP1;RORA;MSI2;RORB;ZDBF2;NSDHL;GJA1;OPHN1;CCND1;SOX18;CAPN5;SCN9A;SMARCAD1;GGT1;GTF2I;AGTPBP1;MBNL2;SNRPN;KDM2B;PRKCE;THOC1;EBF1;LIFR;CHD1L;FOXP3;ANK1;RUNX1;AFG3L2;ADAM17;PHOSPHO1;MAF;FSCN1;HOXB4;SIK3;ORAI1;HOXB2;MATR3;IL6ST;RAF1;TP53;CFH;NPR2;ITPR1;LTBP4;GATA3;GATA2;MEFV;ADAMTS10;CACNA1H;STK36;PSAP;TP53BP1;ZNF423;PATZ1;EGR2;JAG1;PHC1;VDR;PBX1;PTK2;NFKB2;SMAD7;MEX3B;MEX3A;CDK6;BCL6;DLG4;CNTN1;GNB5;ITPA;CPEB4;FGFR1;NRP1;KDM5C;PHF20;SLC44A2;CHD7;LAMC1;TCIRG1;PHF6;PKD1;AFF1;GLI2;DNMT3B;IDS;SLC18A2;JAK1;NCOA2;MMP2;ETV1;PAX5;SAFB;POMGNT1;APRT;KAT2A;TAL1;NDUFS4;SOS1;TLR4;CERS1;PPARD;HDAC4;RBM47;HDAC2;NFIX;SEMA3A;LEF1;CXCR4;LRP6;CXCR2;SLC17A5;ZNF467;MBD5;CIZ1;SLC12A5;MBOAT7;STAT3;ARID3A;SOD2;GRHL1;GALC;NFIA;PRKRA;IL2RA;NFIC;ERCC2;PTPN9;LPIN1
Human cytomegalovirus infection,KEGG_2021_Human,7.014e-9,7.3170e-7,2.766,51.92,ATF2;PIK3CD;PIK3CB;CCND1;CREB3L4;AKT3;CREB3L2;RAC2;ITGAV;PRKACA;PRKACB;JAK1;MAP2K1;HLA-F;HLA-E;IRF3;TRAF5;RAF1;SOS1;TP53;CREB5;PXN;ITPR1;CXCR4;ITPR2;ADCY2;ITPR3;ADCY6;GNAI2;GNG2;GNG5;CXCR2;GNA12;E2F2;CCR1;IL10RA;STAT3;NFATC1;GNG12;MAPK14;GNG11;PTK2;MAPK12;MAPK13;MAPK11;IL6;CDK6;CXCL12;GNB2;CALM3;GNB5
White fat cell differentiation WP4149,WikiPathway_2021_Human,8.015e-9,4.5440e-6,9.346,174.2,STAT5B;CEBPB;EGR2;CEBPD;EBF1;NR1H3;RORA;GATA3;GATA2;KLF4;FOXO1;KLF2;KLF5;IRF3;CTNNA1;ZNF423
CD8+ Tcells,Human_Gene_Atlas,8.441e-9,3.4610e-7,1.966,36.55,ATF2;RORA;ETS1;HERC4;ZNF83;LONP2;ZNF202;EOMES;ZNF18;SNRPN;SP110;ANGEL2;METTL3;ALG13;HLA-F;EML4;RNF125;POLG2;PRKD3;ANKRD17;TXK;TCF7;SDR39U1;ITPR3;LY9;RASGRP1;ADAMTS10;ZNF546;E4F1;SMYD4;TRPM7;PLCG1;ST3GAL1;PAG1;ZNF420;BPTF;STAT5B;NSUN5P1;NSUN5P2;ATP8B2;BCL11B;API5;BTBD8;CLK2;FUBP1;CDC16;CD28;CDK10;NMT2;TPP2;CDK13;IL7R;OGT;ATR;SETD4;ITK;DIDO1;RBM26;PDE3B;PPWD1;CTSW;CD3E;SYNE2;SYNE1;ZMYM6;MAN2C1;SHPRH;KLF12;ARAP2;IL16;PPP2R5C;SLC7A6;AEBP2;IRF3;LCK;HNRNPH1;TRAF5;TRIM56;TRIM52;ZNF195;CXCR4;SPG7;ZBTB40;ZNF500;HNRNPA1;REPS1;USP20;MGA;FOXJ3;ZFC3H1;TRMT1;HINFP;SNRK;CD6;PIK3IP1;STK17A;MGAT4A;CAMK4;SGSM2;PCYOX1L;ZNF337;TARDBP;MPHOSPH8
Human T-cell leukemia virus 1 infection,KEGG_2021_Human,2.143e-8,1.3470e-6,2.717,47.98,ATF2;NRP1;SPI1;ITGB2;PIK3CD;PIK3CB;CD3E;ETS1;ETS2;CDC20;ELK4;CCND1;CREB3L4;AKT3;CREB3L2;TSPO;PRKACA;PRKACB;JAK1;MAP2K1;ANAPC7;HLA-F;HLA-E;KAT2B;KAT2A;LCK;TBPL1;ANAPC4;TP53;ANAPC1;ANAPC2;CREB5;ADCY2;ADCY6;MAPK8;E2F2;STAT5B;MAP3K3;EGR2;SMAD4;NFYB;NFATC1;NFKB2;IL6;IL2RA;CDC16;IL2RB;HLA-DRA;ATR
Kaposi sarcoma-associated herpesvirus infection,KEGG_2021_Human,2.152e-8,1.3470e-6,2.864,50.56,TCF7;LEF1;ITPR1;ITPR2;PIK3CD;ITPR3;PIK3CB;MAPK8;GNG2;CCND1;GNG5;AKT3;E2F2;PLCG1;JAK1;CCR1;LYN;ATG3;TCF7L2;MAP2K1;ANGPT2;SYK;IFNGR1;STAT3;NFATC1;HLA-F;GNG12;MAPK14;GNG11;MAPK12;HLA-E;MAPK13;HCK;RCAN1;MAPK11;IL6;CDK6;IRF3;GNB2;CALM3;PIK3C3;GNB5;IL6ST;RAF1;TP53
Disease R-HSA-1643685,Reactome_2022,5.25e-8,2.0550e-5,1.515,25.39,APP;HDAC11;KEAP1;ZDHHC8;RBPJ;RXFP1;ZDHHC3;GJA1;TRIM28;AKT3;TRIM25;PRKACB;MCCC2;CUBN;ALG8;ALG9;ZNF160;MCCC1;RNASE3;HLA-F;HSPG2;SND1;HLA-E;EML4;AKAP9;TP53;ABCB6;SUPT4H1;NEDD4L;IQGAP1;MEFV;GNS;ADAMTS10;ADAMTS14;ADAMTS13;NTHL1;ST3GAL4;CHST14;PLCG1;ATRIP;ST3GAL1;LYN;STAT5B;JAG1;YES1;BCL11A;PARP16;GNG12;GNG11;PTK2;ARTN;GOLGB1;CDC16;CD28;NMT2;ADA;NRP1;SH3KBP1;HEXB;MECP2;ATIC;HEY1;CTSL;C1QBP;MRC1;RAC2;IDS;JAK1;PBRM1;SYK;PARP1;IFNGR1;PRMT1;IFNGR2;AVPR1A;DUSP8;PARP9;IL17RC;APRT;IL17RA;KAT2B;HCK;KAT2A;SLC7A7;PTRH2;TLR8;CD46;TLR4;SLC29A3;ZDHHC20;HSD17B4;CXCR4;ADCY2;ADCY6;GNAI2;NT5E;SLC17A5;GPC4;NPM1;STAT3;TARBP1;MIB1;NLRP12;ZDHHC9;ADM2;CAMK4;DPAGT1;SEMA5A;KDM1A;IRS1;PEBP1;IRS2;COMT;IPO5;HHAT;CYSLTR2;CCND1;GGT1;GYG1;ZBP1;MAP2K1;ANAPC7;FBXW7;ALG13;CYBA;ZCRB1;ALG11;ATP1B2;ATP1B1;ADAM17;SLC9A7;SLC9A9;ANAPC4;DPEP1;GEMIN5;GEMIN8;S100A9;ANAPC1;S100A8;SLC27A4;ANAPC2;CALCRL;CUL5;TNKS;ITPR1;ITPR2;ITPR3;GPR84;ADRB2;CORO1A;FOXO1;PGK1;DVL2;GGT5;SMAD4;CPSF6;NFKB2;FGF17;ZC3HC1;CDK9;NR4A1;IL6;MAVS;G6PC3;CDK6;GNB2;TBXAS1;NF1;TAB2;GNB5;FGFR1;POMT2;YWHAE;ABCD4;HSP90AB1;FLT3;POMT1;PIK3CB;DUSP10;MYO18A;DNMT3B;HMG20B;ABCD1;KSR1;NCBP2;ATRX;PPP2R5C;POMGNT1;FGR;VCAN;TFDP2;IRF3;NRG4;LCK;POLR1A;PIK3C3;LCT;SOS1;ST6GALNAC4;DOCK1;KDM7A;LTF;HDAC4;SLC24A1;CEBPB;HDAC2;CAMK2D;CEBPD;RPL36A;LRP6;MAPK8;GNG2;MTA1;GNG5;PABPN1;FIP1L1;E2F2;RBBP7;MTA3;TCF7L2;GALNT3;B3GAT3;TRAT1;SSRP1;BAIAP2;MAPK14;RPIA;RAD50;ERCC3;IMPDH2;MGAT4A;ERCC2;MGAT4B;TAF6;CD247
CD33+ Myeloid,Human_Gene_Atlas,1.011e-7,2.7630e-6,1.820,29.32,CDA;HFE;ZFAND5;INPPL1;IRS2;ZXDC;TRIM25;JUNB;AGFG1;MEF2A;TLE4;AGTPBP1;SLC11A1;RNASE6;ALG13;CYBB;RUNX1;JMJD6;ADAM17;TYROBP;PADI4;KCTD12;ZNF710;IL6ST;S100A8;ITPR2;IQGAP1;ABHD5;CD1D;GNS;MTMR6;PSAP;CHST15;CD14;SLC15A3;CCR1;IVNS1ABP;SLC37A2;EGR2;VDR;PILRA;LYZ;PARP12;MLLT10;PTPRE;BST1;MAVS;MAFB;ARHGAP30;BCL6;CPD;TBXAS1;FBXL5;ZCCHC4;LRRK2;ITGB2;PYGL;TCIRG1;PCSK5;CTSS;SCPEP1;HK3;GLT1D1;SLC22A15;TSPO;IDS;CCR2;VENTX;CAP1;NCOA2;DUSP3;SYK;DIS3;IFNGR2;DDX52;ARAP1;TNFRSF1B;IL17RA;FGR;MS4A6A;HCK;KIN;VCAN;SLC7A7;MTF1;HCLS1;TLR8;SGK1;TLR4;BLVRA;CREB5;HDAC4;CEBPD;PTAFR;FGL2;AOAH;LILRA2;GNAI2;RXRA;PLAGL2;MAP3K3;CARD9;LILRB1;LILRB2;KLF4;LILRB3;MAPK14;SOD2;KLF7
CD4+ Tcells,Human_Gene_Atlas,1.37e-7,2.8080e-6,1.928,30.46,ITK;DIDO1;ZNF692;ZNF251;OSGEPL1;PDE3B;PPWD1;PIK3CD;RORA;CD3E;ETS1;SYNE1;HERC4;CASP10;LUC7L;LONP2;ACAD11;TIGD1;RBM5;DDX17;ANGEL2;ATRX;METTL3;ARAP2;NSUN6;IL16;ALG10;EML4;SLC7A6;RNF125;IRF3;LCK;HNRNPH1;TRAF5;ULK3;ZNF514;LUC7L3;ZNF512;SOS1;MZF1;CUL9;ANKRD17;MACF1;TXK;TCF7;LEF1;CXCR4;ITPR3;NOL9;LY9;RASGRP1;ZBTB40;E4F1;SMYD4;TRPM7;PLCG1;DMAP1;HNRNPA1;PAG1;REPS1;STAT5B;NSUN5P1;NSUN5P2;ATP8B2;BCL11B;USP20;TRAT1;MGA;ZFC3H1;TRMT1;HARS2;KLF2;CLK2;SNRK;ZNFX1;CD6;PIK3IP1;SGSM2;PCYOX1L;NF1;CD28;CDK10;NMT2;TPP2;TAB2;CDK13;TARDBP;IL7R;OGT;MPHOSPH8
Antigen presenting cells in Thymus,Descartes_Cell_Types_and_Tissue_2021,2.588e-7,4.0630e-5,2.582,39.17,IL1RN;SPI1;FLT3;LRRK2;PTAFR;CHRNA6;MS4A7;FGL2;CTSS;SLC8A1;ARHGAP22;IL4I1;MMP25;CTSH;CD14;CLIC2;SLC15A3;CMKLR1;CCR1;FCER1G;KDM2B;ACSL1;NFAM1;IL10RA;P2RY14;CYBB;PAX5;LYZ;MCOLN2;NR5A1;FGR;HCK;MS4A6A;NLRP12;SLC7A7;TYROBP;MAFB;SLC9A7;NRG4;FSCN1;HLA-DRA;NABP1;IRF8;MS4A1;LGMN
Transcriptional Regulation By VENTX R-HSA-8853884,Reactome_2022,2.592e-7,8.1190e-5,6.499,98.56,TCF7L2;CEBPB;ANAPC7;EHMT2;LEF1;EHMT1;IL6;CCND1;AGO3;AGO4;CDC16;ANAPC4;TP53;ANAPC1;VENTX;ANAPC2
Thermogenesis WP4321,WikiPathway_2021_Human,2.937e-7,8.3260e-5,3.442,51.77,ATF2;SMARCD1;KDM1A;ADCY2;ADCY6;LIPE;CREB3L4;RPS6KA2;CREB3L2;DPF1;PRDM16;DPF3;PRKACA;PRKACB;MAP3K5;SMARCE1;SMARCC1;CPT1A;SMARCC2;ACSL1;BMP8B;MAPK14;MAPK12;SMARCA4;MAPK13;MAPK11;SOS1;FGFR1;CREB5
Lymphocyte percentage of white cells,GWAS_Catalog_2019,5.209e-7,0.0006459,3.095,44.78,IL1RN;CSF3R;FLT3;CHD7;NLRC5;IQGAP1;ADRB2;GATA2;ETS1;LY9;IL18RAP;SCML4;ZMIZ1;MIER1;CXCR2;DNMT3B;JAZF1;KLF12;MINK1;EBF1;NR1H3;ABCA7;TRMT1;ANK1;KLF2;TADA2B;CDK6;IL7;IL2RA;IL7R;MXD3;CREB5
SP1 human,TRRUST_Transcription_Factors_2019,0.00000113,0.0005367,1.902,26.04,ATF2;APP;PGLYRP2;ITGB2;TNC;ATP2A2;IRS2;RORA;LSP1;SPN;GJA1;CCND1;CTSL;C1QBP;FPGS;DNMT3B;TIMP3;ITGAV;PHGDH;ABCC1;SNRPN;IFNGR1;IGFBP4;PRKCE;ITGA2;MMP2;TERF2;BACE1;NR5A1;ADAM17;CAT;BIRC5;ITGA5;HOXB7;FBP1;ABCG2;LTF;B4GALT5;HDAC4;ABCB1;FGL2;LTBP4;GATA3;CD1D;ATP2C1;UGCG;SGPL1;NT5E;MTA1;MAT2A;TBXA2R;TBX21;POLD2;PDE6B;CD14;NDUFV1;CD99;MCTS1;VDR;CDC42BPG;INSR;LYZ;SOD2;EPOR;NFKB2;ISG20;NR4A1;IL6;CDK6;KRT18;WT1;APEX1;IMPDH2;IL2RB;NF1;CD28;VIM;ADA;FGFR1
Myeloid cells in Pancreas,Descartes_Cell_Types_and_Tissue_2021,0.000001176,6.7370e-5,2.340,31.95,IL1RN;SPI1;CSF3R;MS4A3;FLT3;AQP9;PTAFR;C5AR1;MS4A7;FGL2;CD1D;MEFV;SIRPB1;TRPM2;HK3;HPGDS;GNA15;MRC1;CD14;CCR2;VENTX;CCR1;ATP8B4;SLC37A2;FCER1G;NFAM1;CARD9;RNASE6;CYBB;LILRB1;PILRA;LILRB2;LYZ;LILRB3;LILRB4;UTF1;MCOLN2;FGR;HCK;MS4A6A;NLRP12;TYROBP;TBXAS1;TLR8;PADI4;S100A9;S100A8;LGMN
Myeloid cells in Heart,Descartes_Cell_Types_and_Tissue_2021,0.000001287,6.7370e-5,2.943,39.91,IL1RN;RBM47;SPI1;FLT3;C5AR1;MS4A7;CD1D;RBPJ;SIRPB1;HK3;CD14;CCR2;CCR1;EGR2;SLC37A2;SLC11A1;NFAM1;CYBB;LILRB1;PILRA;LYZ;LILRB3;LILRB4;MYCL;HCK;MS4A6A;TYROBP;HLA-DRA;IRF8;TLR8;S100A8;LGMN
FOXP3 in COVID-19 WP5063,WikiPathway_2021_Human,0.000002228,0.0004211,13.98,181.9,STAT5B;IL6;IL2RA;STAT3;IL2RB;CD28;IL6ST;IL7R;FOXP3
